NPI,TIN,TYPE,NEGOTIATION_ARRANGEMENT,BILLING_CODE_TYPE,BILLING_CODE,NEGOTIATED_TYPE,NEGOTIATED_RATE,BILLING_CLASS
1407044399,453650465,ein,ffs,CPT,99213,negotiated,79.47,professional
1245205020,273645560,ein,ffs,CPT,99213,negotiated,326.2,professional
1023227576,208016802,ein,ffs,CPT,99213,negotiated,257.48,professional
1376906321,208016802,ein,ffs,CPT,99213,negotiated,257.48,professional
1376855999,208016802,ein,ffs,CPT,99213,negotiated,257.48,professional
1972720928,208016802,ein,ffs,CPT,99213,negotiated,257.48,professional
1891937934,208016802,ein,ffs,CPT,99213,negotiated,257.48,professional
1285698738,208016802,ein,ffs,CPT,99213,negotiated,257.48,professional
1265413819,582197786,ein,ffs,CPT,99213,negotiated,46.82,professional
1902878895,320260988,ein,ffs,CPT,99213,negotiated,71.54,professional
1295938553,320260988,ein,ffs,CPT,99213,negotiated,71.54,professional
1144514571,272042610,ein,ffs,CPT,99213,negotiated,57.8,professional
1871506089,272042610,ein,ffs,CPT,99213,negotiated,57.8,professional
1841237781,272042610,ein,ffs,CPT,99213,negotiated,57.8,professional
1306224779,582136821,ein,ffs,CPT,99213,negotiated,53.74,professional
1245628601,582136821,ein,ffs,CPT,99213,negotiated,53.74,professional
1447727094,582136821,ein,ffs,CPT,99213,negotiated,53.74,professional
1538301718,582136821,ein,ffs,CPT,99213,negotiated,53.74,professional
1821486523,582136821,ein,ffs,CPT,99213,negotiated,53.74,professional
1275862351,582136821,ein,ffs,CPT,99213,negotiated,53.74,professional
1154844280,850511050,ein,ffs,CPT,99213,negotiated,79.72,professional
1922240621,474717998,ein,ffs,CPT,99213,negotiated,47.22,professional
1972583524,721344463,ein,ffs,CPT,99213,negotiated,85.59,professional
1417164005,201546421,ein,ffs,CPT,99213,negotiated,79.93,professional
1386685139,200377049,ein,ffs,CPT,99213,negotiated,64.38,professional
1902152796,752958008,ein,ffs,CPT,99213,negotiated,40.86,professional
1710980362,751047527,ein,ffs,CPT,99213,negotiated,92.65,professional
1205045952,521415148,ein,ffs,CPT,99213,negotiated,80.24,professional
1174528970,61805442,ein,ffs,CPT,99213,negotiated,57.96,professional
1003806886,61805442,ein,ffs,CPT,99213,negotiated,57.96,professional
1225477870,362608092,ein,ffs,CPT,99213,negotiated,97.48,professional
1205217353,910214500,ein,ffs,CPT,99213,negotiated,211.51,professional
1528021482,249582317,ein,ffs,CPT,99213,negotiated,85.59,professional
